URLs Downloaded, size, # of outlinks found, content-type
https://www.cnn.com/2018/09/28/asia/japan-hayabusa-rovers-first-video-intl/index.html,1775942,225,text/html
https://www.cnn.com/profiles/joe-johns-profile,1638514,218,text/html
https://www.cnn.com/2017/11/15/health/screen-time-averages-parenting/index.html,1591700,192,text/html
https://www.cnn.com/2017/10/30/health/acetaminophen-adhd-pregnancy-study/index.html,1725408,201,text/html
https://www.cnn.com/2017/10/18/health/puberty-book-periods-parenting/index.html,1730832,203,text/html
https://www.cnn.com/profiles/jim-acosta-profile,1631143,220,text/html
https://www.cnn.com/2017/10/23/health/listeria-recall-vegetables/index.html,1709415,194,text/html
https://www.cnn.com/profiles/guillermo-arduino-profile,1593790,198,text/html
https://www.cnn.com/2018/09/19/australia/australia-strawberry-sabotage-needles-intl/index.html,1773943,226,text/html
https://www.cnn.com/2017/09/06/health/good-manners-teaching-kids-parenting/index.html,1751641,214,text/html
https://www.cnn.com/2018/08/15/opinions/australian-muslims-society-intl/index.html,1614802,209,text/html
https://www.cnn.com/2017/09/26/health/gender-equality-teaching-children-parenting/index.html,1763981,223,text/html
https://www.cnn.com/2018/09/17/us/florence-hurricane-tropical-storm/index.html,1846863,226,text/html
https://www.cnn.com/profiles/carol-costello,1638715,226,text/html
https://www.cnn.com/videos/politics/2018/09/29/steve-bannon-michael-avenatti-2020-bill-maher-ewoh-orig.cnn/video/playlists/top-news-videos/,1762757,100,text/html
https://www.cnn.com/2017/11/15/health/black-women-maternal-mortality/index.html,1798518,220,text/html
https://www.cnn.com/2018/09/17/world/iyw-typhoon-how-to-help/index.html,1588097,191,text/html
https://www.cnn.com/2017/11/30/health/raising-good-men-go-ask-your-dad/index.html,1598415,197,text/html
https://www.cnn.com/profiles/richard-roth-profile,1634863,218,text/html
https://www.cnn.com/profiles/rosemary-church-profile,1593298,197,text/html
http://www.cnn.com/interactive/storm-tracker/,10286,12,text/html
